file,work_time,runtime,optimum
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed3809.out,19.56,10.10,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed4032.out,41.90,18.13,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed4478.out,7.05,3.95,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed5091.out,34.98,14.99,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed7209.out,5.05,3.07,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed7748.out,47.02,19.02,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed8170.out,37.40,15.48,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed9518.out,36.38,15.00,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed1477.out,4.11,2.77,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed3126.out,2.91,2.35,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed3485.out,4.31,2.87,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed3921.out,30.86,15.52,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed4576.out,7.88,4.35,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed4606.out,3.22,2.40,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed4900.out,7.02,3.90,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed7695.out,6.10,3.68,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed8413.out,5.83,3.60,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_y__seed9822.out,6.56,3.84,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_pure_linear_only_x__seed3183.out,226.85,94.97,5.000000000000e+02
