filename,status,objective,gap,work_units,runtime_seconds,initial_gap,simplex_iters,nodes
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_y__seed9587.out,Optimal solution found,5.120000000000e+02,0.0000%,195.76,96.20,35.4%,703169,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_x_and_y__seed9675.out,Optimal solution found,5.120000000000e+02,0.0000%,243.85,131.27,31.3%,671122,541
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_x__seed4867.out,Optimal solution found,5.120000000000e+02,0.0000%,222.68,108.44,35.6%,1099979,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_y__seed1285.out,Optimal solution found,5.120000000000e+02,0.0000%,160.98,86.02,35.3%,691586,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_only_x__seed1071.out,Optimal solution found,5.120000000000e+02,0.0000%,6.25,3.81,0.00%,32492,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_y__seed1252.out,Optimal solution found,5.120000000000e+02,0.0000%,204.15,106.17,35.2%,1188967,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_x__seed8293.out,Optimal solution found,5.120000000000e+02,0.0000%,253.53,147.05,35.6%,508217,500
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_only_y__seed6800.out,Optimal solution found,5.120000000000e+02,0.0000%,222.81,137.21,11.3%,218365,30
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_only_y__seed1984.out,Optimal solution found,5.120000000000e+02,0.0000%,4.81,3.34,0.00%,41439,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_only_y__seed4838.out,Optimal solution found,5.120000000000e+02,0.0000%,493.22,258.92,33.1%,3314957,3053
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_linear_x__seed7389.out,Optimal solution found,5.120000000000e+02,0.0000%,123.75,69.92,0.61%,441274,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_only_y__seed8893.out,Optimal solution found,5.120000000000e+02,0.0000%,35.71,23.48,1.76%,53098,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_mixed__seed7788.out,Optimal solution found,5.120000000000e+02,0.0000%,6.53,4.01,0.00%,22980,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_x_and_y__seed9298.out,Optimal solution found,5.120000000000e+02,0.0000%,344.27,190.73,32.9%,2952769,1766
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_separate__seed6204.out,Optimal solution found,5.120000000000e+02,0.0000%,81.72,50.17,1.95%,63389,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_only_y__seed1574.out,Optimal solution found,5.120000000000e+02,0.0000%,6.47,4.01,0.00%,22571,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_x_and_y__seed6668.out,Optimal solution found,5.120000000000e+02,0.0000%,182.55,90.80,35.7%,590038,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_only_x__seed6324.out,Optimal solution found,5.120000000000e+02,0.0000%,131.51,73.22,1.76%,61435,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_x_and_y__seed9075.out,Optimal solution found,5.120000000000e+02,0.0000%,393.85,223.08,34.6%,224827,2082
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_only_y__seed5903.out,Optimal solution found,5.120000000000e+02,0.0000%,159.20,88.19,32.4%,627590,172
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_x_and_y__seed7841.out,Optimal solution found,5.120000000000e+02,0.0000%,483.96,244.67,32.5%,3328448,2554
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_separate__seed8130.out,Optimal solution found,5.120000000000e+02,0.0000%,91.16,47.19,0.61%,46455,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_linear_x__seed8644.out,Optimal solution found,5.120000000000e+02,0.0000%,40.87,27.39,7.94%,52890,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_only_y__seed1040.out,Optimal solution found,5.120000000000e+02,0.0000%,60.79,37.39,1.57%,50274,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_linear_y__seed1874.out,Optimal solution found,5.120000000000e+02,0.0000%,101.13,58.37,3.97%,50488,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_linear_y__seed9031.out,Optimal solution found,5.120000000000e+02,0.0000%,222.80,117.28,4.69%,747853,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_x_and_y__seed8540.out,Optimal solution found,5.120000000000e+02,0.0000%,253.41,139.63,32.7%,955904,587
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_linear_y__seed7746.out,Optimal solution found,5.120000000000e+02,0.0000%,205.22,113.54,3.24%,591770,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_only_x__seed5874.out,Optimal solution found,5.120000000000e+02,0.0000%,179.54,95.26,35.5%,1060742,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_only_x__seed3520.out,Optimal solution found,5.120000000000e+02,0.0000%,74.94,43.22,0.42%,49231,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_mixed__seed6797.out,Optimal solution found,5.120000000000e+02,0.0000%,162.94,82.01,1.57%,58687,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_separate__seed5532.out,Optimal solution found,5.120000000000e+02,0.0000%,3.80,3.01,0.00%,36966,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_only_x__seed9214.out,Optimal solution found,5.120000000000e+02,0.0000%,2.23,1.89,0.00%,0,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_only_x__seed2949.out,Optimal solution found,5.120000000000e+02,0.0000%,176.57,87.77,35.6%,517839,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_linear_y__seed9310.out,Optimal solution found,5.120000000000e+02,0.0000%,98.40,53.26,1.19%,357857,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_only_y__seed6485.out,Optimal solution found,5.120000000000e+02,0.0000%,3.72,2.88,0.00%,34086,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_only_y__seed2767.out,Optimal solution found,5.120000000000e+02,0.0000%,4.12,3.06,0.00%,31488,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_only_y__seed5626.out,Optimal solution found,5.120000000000e+02,0.0000%,30.33,21.08,1.57%,55759,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_linear_y__seed7193.out,Optimal solution found,5.120000000000e+02,0.0000%,78.21,51.13,1.95%,79901,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_linear_y__seed9237.out,Optimal solution found,5.120000000000e+02,0.0000%,102.05,59.38,3.61%,54826,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_only_y__seed6384.out,Optimal solution found,5.120000000000e+02,0.0000%,229.88,132.47,32.5%,739528,343
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_linear_x__seed1895.out,Optimal solution found,5.120000000000e+02,0.0000%,56.88,32.32,3.43%,45914,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_only_x__seed7193.out,Optimal solution found,5.120000000000e+02,0.0000%,5.59,3.57,0.00%,31030,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_pure_linear_x_and_y__seed5921.out,Optimal solution found,5.120000000000e+02,0.0000%,179.80,104.42,32.1%,607112,35
